Margarete Haagen
Friedl Haerlin
Hertha von Hagen
Marte Harell
Vera Hartegg
Heidemarie Hatheyer
Angelika Hauff
Lena Haustein
Kirsten Heiberg
Ursula Herking
Margot Hielscher
Ellen Hille
Karin Himboldt
Maria Hofen
Hilla Hofer
Gabriele Hoffmann
Irmgard Hoffmann
Maria Holst
Annemarie Holtz
Olly Holzmann
Margot Höpfner
Melanie Horeschovsky
Gusti Huber
Käte Jöken-König
Jutta Jol
Heidi Kabel
Gerti Kammerzell
Geraldine Katt
Eva Klein-Donath
Hildegard Knef
Lotte Koch
Irene Kohl
Dora Komar
Hilde Körber
Annemarie Korff
Polly Koss
Hilde Krahl
Gustl Kreusch
Kate Kühl
Else Kündiger
Evelyn Künneke
Ingeborg von Kusserow
Maria Landrock
Lotte Lang
Zarah Leander
Trude Lehmann
Inge List
Maria Litto
Bruni Löbel
Ruth Lommel
Lina Lossen
Ingrid Lutz
Christl Mardayn
Leny Marenbach
Elisabeth Markus
Winnie Markus
Valérie von Martens
Gerda Maurus
Herta Mayen
Elfie Mayerhofer
Eva Maria Meineke
Edith Meinel
Edith Meinhard
Käte Merk
Gertrud Meyen
Irene von Meyendorff
Lucy Millowitsch
Else von Moellendorff
Theodolinde Müller
Lola Müthel
Susi Nicoletti
Gerda von der Osten
Katja Pahl
Ilse Petri
Flockina von Platen
Alexa von Porembsky
Auguste Pünkösdy
Mady Rahl
Erika Raphael
Lotte Rausch
Annelies Reinhold
Herma Relin
Ethel Reschke
Marina Ried
Marika Rökk
Traute Rose
Carla Rust
Margarete Sachse
Tatjana Sais
Marta Salm
Liselotte Schaak
Olga Schaub
Annemarie Schäfer
Babsi Schultz-Reckewell
Françoise Rosay
Charlotte Schellhorn
Gisela Schlüter
Tine Schneider
Sonja-Gerda Scholz
Gretl Schörg
Irmingard Schreiter
Hannelore Schroth
Charlotte Schultz
Adelheid Seeck
Hilde Seipp
Erna Sellmer
Helli Servi
Marianne Simson
Kristina Söderbaum
Maria Stadler
Marianne Stanior
Renée Stobrawa
Eleonore Tappert
Maria von Tasnady
Gerda Maria Terno
Erika von Thellmann
Jane Tilden
Eva Tinschmann
Ilse Trautschold
Alice Treff
Gisela Uhlen
Anneliese Uhlig
Hilde Volk
Melanie Webelhorst-Zimmermann
Meta Weber
Thea Weis
Hansi Wendler
Vicky Werckmeister
Ilse Werner
Paula Wessely
Agnes Windeck
Margrit Winter
Charlotte Witthauer
Gusti Wolf
Herta Worell
Gisa Wurm
Anneliese Würtz
Maria Zidek-Meck
Hermine Ziegler
Sonja Ziemann
Viktor Afritsch
Axel von Ambesser
Lukas Ammann
Valy Arnheim
Franz Arzdorf
Ewald Balser
Walter Bechmann
Reinhold Bernt
Erwin Biegel
Willy Birgel
Franz Böheim
